brand_key,sub_segment_key,area,sector,year,sector_annual,baseline_used,ratio,band,reduction,factor,cleaned_sector,removed
aston martin,suv,B,B92 0,2022,4,1.6666666666666667,2.4,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
ferrari,core supercar,BT,BT12 6,2024,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
ferrari,core supercar,B,B90 4,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,suv,W,W1J,2023,4,1.4,2.857142857142857,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
ferrari,core supercar,SW,SW7,2024,4,1.2,3.3333333333333335,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,suv,LS,LS12 6,2025,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
ferrari,core supercar,TW,TW20 0,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,gt,TN,TN13 2,2024,4,1.3333333333333333,3.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
ferrari,core supercar,SW,SW7,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
mclaren,core supercar,SK,SK9,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,gt,NE,NE28 9,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,gt,BS,BS10 7,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,gt,MK,MK16 9,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
mclaren,core supercar,SK,SK9,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,gt,BS,BS10 7,2024,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,gt,BS,BS10 7,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,gt,B,B24 9,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
mclaren,core supercar,LS,LS9,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
mclaren,core supercar,ML,ML3,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
lamborghini,upper supercar,SK,SK1,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,gt,CM,CM14 5,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,gt,LS,LS12 6,2025,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
rolls-royce,suv,SL,SL5,2025,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,gt,LS,LS12 6,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,gt,GL,GL51 9,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
ferrari,suv,SK,SK9,2025,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
ferrari,gt,TW,TW20 0,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
mclaren,core supercar,B,B94 5,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
ferrari,core supercar,SO,SO43 7,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,suv,B,B92 0,2023,4,1.1666666666666667,3.4285714285714284,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,suv,WA,WA16 8,2025,4,1.4285714285714286,2.8,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
ferrari,core supercar,LS,LS12 6,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,suv,SO,SO43 7,2025,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,suv,EH,EH15 3,2023,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,suv,RG,RG8,2024,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
lamborghini,suv,BS,BS10 7,2025,4,1.2,3.3333333333333335,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
ferrari,suv,BT,BT12 6,2024,4,1.2,3.3333333333333335,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
ferrari,upper supercar,BT,BT12 6,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,suv,BS,BS10 7,2024,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,suv,B,B92 0,2024,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,suv,LE,LE7,2024,4,1.25,3.2,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,suv,GU,GU23 6,2022,4,1.125,3.5555555555555554,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
aston martin,suv,KT,KT12 1,2022,4,1.0,4.0,mild,0.19999999999999996,0.8,3.2,0.7999999999999998
bentley,gt,LS,LS12 6,2024,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
bentley,gt,ML,ML3,2024,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
bentley,suv,B,B24 9,2025,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
bentley,suv,BS,BS10 7,2024,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
bentley,suv,B,B24 9,2024,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
aston martin,suv,PO,PO19 8,2022,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
mclaren,core supercar,SL,SL5,2025,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
aston martin,gt,BS,BS10 7,2023,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
aston martin,gt,BS,BS10 7,2025,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
aston martin,gt,BT,BT12 6,2023,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
aston martin,gt,B,B92 0,2022,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
mclaren,gt,ML,ML3,2025,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
mclaren,gt,SO,SO43 7,2024,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
mclaren,gt,SK,SK9,2024,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
mclaren,gt,LS,LS9,2024,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
mclaren,gt,ML,ML3,2022,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
mclaren,gt,ML,ML3,2023,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
mclaren,core supercar,SO,SO43 7,2023,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
aston martin,gt,MK,MK16 9,2025,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
mclaren,core supercar,SO,SO43 7,2022,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
aston martin,gt,AL,AL10 9,2023,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
aston martin,gt,B,B92 0,2023,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
aston martin,gt,MK,MK16 9,2023,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
aston martin,upper gt,BS,BS10 7,2022,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
aston martin,upper gt,RG,RG8,2022,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
aston martin,upper gt,PO,PO19 8,2022,3,1.0,3.0,mild,0.19999999999999984,0.8000000000000002,2.4000000000000004,0.5999999999999996
